emelet,energia_tanusitvany,dohanyzas,tajolas,min_berleti_ido,gepesitett,parkolo_dij,belmagassag,kilatas,tetoteri,akadalymentesitett,epites_ev,epulet_szintjei,lift,butorozott,floorspace,parkolas,price,erkely,kertkapcsolatos,n_rooms,futes,position,komfort,legkondicio,furdo_wc,kisallat,koltozheto,rezsikoltseg,Ingatlan_allapota
földszint,nincs megadva,nincs megadva,nincs megadva,2 év ,nincs megadva,,nincs megadva,kertre néző,nincs megadva,nincs megadva,,nincs megadva,nincs megadva,nem,1 szoba,nincs megadva,95 000 Ft,,nincs megadva,36 m²,gáz (cirko),"1. kerület, Mészáros utca",összkomfortos,,egy helyiségben,nem hozható,Azonnal,nincs megadva,jó állapotú
2,nincs megadva,nem megengedett,dél,1 év ,igen,,3 m-nél alacsonyabb,panorámás,nem tetőtéri,nem,1950-1980 között,3,nincs,igen,1 szoba,"utca, közterület - ingyenes",130 000 Ft,2 m²,nem,27 m²,gáz (konvektor),"12. kerület, Hegyalja út",összkomfortos,van,egy helyiségben,nem hozható,Azonnal,10 Ft/hó,felújított
1,nincs megadva,nem megengedett,nincs megadva,1 év ,igen,,3 m vagy magasabb,utcai,nincs megadva,nem,,4,nincs megadva,igen,3 szoba,"utca, közterület",200 000 Ft,,nem,55 m²,nincs megadva,"2. kerület, Frankel Leó út",luxus,,külön helyiségben,nem hozható,Azonnal,40 000 Ft/hó,felújított
2,AA++,nem megengedett,délkelet,1 év ,igen,,3 m vagy magasabb,utcai,nem tetőtéri,nem,1950 előtt,5,van,megegyezés szerint,2 szoba,"utca, közterület - fizetős övezet",220 000 Ft,3 m²,nincs megadva,72 m²,gáz (cirko),"7. kerület, Síp utca",összkomfortos,van,külön és egyben is,nem hozható,Azonnal,25 000 Ft/hó,felújított
2,AA++,nem megengedett,dél,1 év ,igen,30 000 000 Ft/hó,3 m-nél alacsonyabb,utcai,nem tetőtéri,igen,2001-2010 között,8,van,részben bútorozott,2 szoba,teremgarázs hely - bérelhető,195 000 Ft,5 m²,nem,52 m²,házközponti egyedi méréssel,"13. kerület, Ipoly utca",összkomfortos,van,külön helyiségben,nem hozható,Azonnal,20 000 Ft/hó,újszerű
2,nincs megadva,nem megengedett,nyugat,1 év ,igen,,3 m-nél alacsonyabb,kertre néző,nem tetőtéri,nem,,2,nincs,igen,2 szoba,udvari beálló - bérelhető,149 000 Ft,4.2 m²,nem,50 m²,gáz (konvektor),"13. kerület, Vőlegény utca 2.",összkomfortos,van,egy helyiségben,nem hozható,Azonnal,25 000 Ft/hó,felújított
5,nincs megadva,nem megengedett,nincs megadva,1 év ,igen,,3 m-nél alacsonyabb,utcai,nem tetőtéri,nincs megadva,2001-2010 között,7,van,igen,1 szoba,teremgarázs hely - benne van az árban,140 000 Ft,,nem,38 m²,házközponti egyedi méréssel,"13. kerület, Teve utca",összkomfortos,nincs,egy helyiségben,nem hozható,,20 000 Ft/hó,új építésű
3,nincs megadva,nem megengedett,nincs megadva,1 év ,igen,,3 m-nél alacsonyabb,utcai,nem tetőtéri,nincs megadva,2001-2010 között,7,van,igen,2 szoba,nincs megadva,167 129 Ft,6 m²,nem,49 m²,házközponti egyedi méréssel,"7. kerület, Holló utca",összkomfortos,van,külön helyiségben,nem hozható,Azonnal,35 000 Ft/hó,újszerű
2,nincs megadva,nem megengedett,nincs megadva,1 év ,igen,25 000 Ft/hó,3 m-nél alacsonyabb,utcai,nem tetőtéri,nincs megadva,2001-2010 között,6,van,igen,2 szoba,teremgarázs hely - bérelhető,182 322 Ft,6 m²,nem,42 m²,házközponti egyedi méréssel,"7. kerület, Holló utca",összkomfortos,van,nincs megadva,nem hozható,Azonnal,35 000 Ft/hó,újszerű
3,nincs megadva,nem megengedett,nincs megadva,1 év ,igen,,3 m vagy magasabb,udvari,"legfelső emelet, nem tetőtéri",nincs megadva,,3,van,igen,2 szoba,nincs megadva,151 935 Ft,,nem,57 m²,gáz (cirko),"6. kerület, Csengery utca",összkomfortos,nincs,egy helyiségben,nem hozható,Azonnal,25 000 Ft/hó,jó állapotú
2,nincs megadva,nem megengedett,nincs megadva,1 év ,nincs megadva,,nincs megadva,utcai,nem tetőtéri,nincs megadva,,3,nincs,igen,1 szoba,"utca, közterület - ingyenes",85 000 Ft,4 m²,nem,32 m²,gáz (konvektor),"14. kerület, Stefánia út",komfortos,,nincs megadva,nem hozható,Azonnal,nincs megadva,jó állapotú
1,nincs megadva,nem megengedett,észak,nincs,igen,,3 m vagy magasabb,utcai,nem tetőtéri,nem,,3,nincs,igen,1 szoba,"utca, közterület - fizetős övezet",85 000 Ft,,nem,30 m²,elektromos,"2. kerület, Lukács utca",összkomfortos,nincs,egy helyiségben,nem hozható,,25 000 Ft/hó,felújított
2,nincs megadva,nincs megadva,nincs megadva,1 év ,nincs megadva,,nincs megadva,utcai,nem tetőtéri,nincs megadva,,nincs megadva,van,nincs megadva,1 szoba,"utca, közterület - fizetős övezet",110 000 Ft,,nincs megadva,32 m²,házközponti egyedi méréssel,"13. kerület, Pannónia utca",összkomfortos,,egy helyiségben,nincs megadva,Azonnal,25 000 Ft/hó,felújított
nincs megadva,nincs megadva,nincs megadva,nincs megadva,nincs,nincs megadva,,nincs megadva,nincs megadva,nem tetőtéri,nincs megadva,,2,nincs,igen,1 + fél szoba,"utca, közterület",110 000 Ft,,nem,43 m²,házközponti egyedi méréssel,"4. kerület, Görgey Artúr utca",nincs megadva,nincs,egy helyiségben,nincs megadva,Azonnal,nincs megadva,újszerű
félemelet,nincs megadva,nincs megadva,nincs megadva,nincs,nincs megadva,,3 m-nél alacsonyabb,utcai,nincs megadva,nincs megadva,1950-1980 között,3,nincs megadva,nincs megadva,1 szoba,"utca, közterület",120 000 Ft,,nincs megadva,34 m²,gáz (konvektor),"3. kerület, Gyenes utca",nincs megadva,,külön helyiségben,nincs megadva,Azonnal,nincs megadva,közepes állapotú
félemelet,nincs megadva,nincs megadva,nyugat,nincs,nincs megadva,,3 m-nél alacsonyabb,utcai,nem tetőtéri,nincs megadva,,5,van,részben bútorozott,1 + fél szoba,"utca, közterület - fizetős övezet",125 000 Ft,,igen,54 m²,távfűtés,"13. kerület, Kresz Géza utca",összkomfortos,nincs,külön helyiségben,nincs megadva,Azonnal,30 000 Ft/hó,újszerű
3,nincs megadva,nem megengedett,nincs megadva,nincs,igen,,nincs megadva,utcai,nem tetőtéri,nincs megadva,,4,nincs,igen,1 szoba,nincs megadva,99 900 Ft,,nincs megadva,45 m²,gáz (konvektor),"7. kerület, Thököly út 19.",összkomfortos,,külön helyiségben,nincs megadva,,nincs megadva,felújított
3,nincs megadva,nincs megadva,nincs megadva,nincs,igen,,nincs megadva,udvari,nincs megadva,nem,,3,nincs,megegyezés szerint,1 szoba,"utca, közterület",100 000 Ft,,nincs megadva,32 m²,gáz (konvektor),"6. kerület, Szondi utca",összkomfortos,nincs,egy helyiségben,nincs megadva,Azonnal,15 000 Ft/hó,jó állapotú
1,nincs megadva,nem megengedett,dél,1 év ,igen,,3 m-nél alacsonyabb,kertre néző,nincs megadva,igen,,nincs megadva,van,igen,1 szoba,"utca, közterület - ingyenes",125 000 Ft,5 m²,nincs megadva,42 m²,nincs megadva,"13. kerület, Üteg utca",összkomfortos,,egy helyiségben,nem hozható,,nincs megadva,újszerű
2,nincs megadva,nincs megadva,nincs megadva,1 év ,igen,,3 m vagy magasabb,utcai,nincs megadva,nincs megadva,,4,nincs,nem,2 szoba,"utca, közterület - fizetős övezet",110 000 Ft,,nincs megadva,48 m²,gáz (konvektor),"8. kerület, Népszínház utca 51.",összkomfortos,,külön helyiségben,hozható,Azonnal,29 000 Ft/hó,felújított
